score,qwen8,qwen14,gemma12,gemma27,llama8,ministral14,ministral8
overall_norm,0.518525,0.5506500000000001,0.6268750000000001,0.53845,0.516625,0.550675,0.47017499999999995
affective_norm,0.48949999999999994,0.5689545454545454,0.5737727272727273,0.5507272727272727,0.48513636363636353,0.5313636363636364,0.44595454545454544
cognitive_norm,0.5539999999999999,0.5282777777777778,0.6917777777777778,0.5234444444444445,0.5551111111111111,0.5742777777777778,0.4997777777777778
